,date,label,latitude,longitude,xnorm,ynorm,bird,count
2062,01-05-2024,"DJI_0159(M:0,F:0,O:0)",3.8740496948620446,49.03323455383848,3,2,Females,0
2063,01-05-2024,"DJI_0160(M:0,F:0,O:0)",3.877636279587133,48.4090641713226,3,2,Females,0
2064,01-05-2024,"DJI_0161(M:0,F:0,O:0)",3.88233874472736,47.794987094058186,2,2,Females,0
2065,01-05-2024,"DJI_0162(M:0,F:0,O:0)",3.88676071424004,47.1728346640335,2,2,Females,0
2066,01-05-2024,"DJI_0163(M:0,F:0,O:0)",3.8865590209542304,46.54694703089172,2,2,Females,0
2067,01-05-2024,"DJI_0164(M:0,F:0,O:0)",3.890132976780741,45.92597818558646,1,2,Females,0
2068,01-05-2024,"DJI_0165(M:0,F:0,O:0)",3.893340035201565,45.30696008021612,1,2,Females,0
2069,01-05-2024,"DJI_0166(M:0,F:0,O:0)",3.899256394417808,44.6860473273324,1,2,Females,0
2070,01-05-2024,"DJI_0167(M:0,F:0,O:0)",3.903362015638894,44.07282685810915,0,2,Females,0
2071,01-05-2024,"DJI_0168(M:0,F:0,O:0)",3.9043374248373937,43.797837806369095,0,2,Females,0
2072,01-05-2024,"DJI_0169(M:0,F:0,O:0)",2.9332815447479064,43.15023847210165,0,1,Females,0
2073,01-05-2024,"DJI_0170(M:0,F:0,O:0)",2.926113930027721,43.79933587257343,0,1,Females,0
2074,01-05-2024,"DJI_0171(M:0,F:0,O:0)",2.923861560348492,44.44159658041008,0,1,Females,0
2075,01-05-2024,"DJI_0172(M:0,F:0,O:0)",2.925048251732477,45.083043126712695,1,1,Females,0
2076,01-05-2024,"DJI_0173(M:0,F:0,O:0)",2.9202745394924,45.70330445201958,1,1,Females,0
2077,01-05-2024,"DJI_0174(M:0,F:0,O:0)",2.9152880694488417,46.32603250270985,1,1,Females,0
2078,01-05-2024,"DJI_0175(M:0,F:0,O:0)",2.910911072223016,46.94470240814835,2,1,Females,0
2079,01-05-2024,"DJI_0176(M:0,F:0,O:0)",2.9071617535407306,47.56657637657717,2,1,Females,0
2080,01-05-2024,"DJI_0177(M:0,F:0,O:0)",2.90293889591711,48.18576226746415,2,1,Females,0
2081,01-05-2024,"DJI_0178(M:0,F:0,O:0)",2.8995226224883623,48.8103081417407,3,1,Females,0
2082,01-05-2024,"DJI_0179(M:0,F:0,O:0)",2.89560046673002,49.43244692585097,3,1,Females,0
2083,01-05-2024,"DJI_0180(M:0,F:0,O:0)",2.89473177715534,50.05650308949205,3,1,Females,0
2084,01-05-2024,"DJI_0181(M:0,F:0,O:0)",2.895748570902832,50.34510284023774,3,1,Females,0
2085,01-05-2024,"DJI_0182(M:0,F:0,O:0)",1.93483552816306,49.69966749545672,3,0,Females,0
2086,01-05-2024,"DJI_0183(M:0,F:0,O:0)",1.9522125783845965,48.39050559251057,2,0,Females,0
2087,01-05-2024,"DJI_0184(M:0,F:0,O:0)",1.9533359470020777,47.74939612600509,2,0,Females,0
2088,01-05-2024,"DJI_0185(M:0,F:0,O:0)",1.953884745489589,47.13121087964262,2,0,Females,0
2089,01-05-2024,"DJI_0186(M:0,F:0,O:0)",1.9576103151385984,46.51139832722795,2,0,Females,0
2090,01-05-2024,"DJI_0187(M:0,F:0,O:0)",1.9645596622676216,45.89387864610477,1,0,Females,0
2091,01-05-2024,"DJI_0188(M:0,F:0,O:0)",1.9627837378234112,45.27115515522589,1,0,Females,0
2092,01-05-2024,"DJI_0189(M:0,F:0,O:0)",1.9633663884630683,44.64834726308078,1,0,Females,0
2093,01-05-2024,"DJI_0190(M:0,F:0,O:0)",1.9708013671155693,43.71371620694556,0,0,Females,0
2094,01-05-2024,"DJI_0191(M:0,F:0,O:0)",1.977864620392765,42.61597453858586,0,0,Females,0
2095,01-05-2024,"DJI_0192(M:0,F:0,O:0)",1.975873266863729,42.50712834200039,0,0,Females,0
2096,03-04-2024,"DJI_0732(M:0,F:0,O:0)",5.784881754479912,52.32727145252928,4,4,Females,0
2097,03-04-2024,"DJI_0733(M:0,F:0,O:0)",5.77142478179054,51.78747764940994,4,4,Females,0
2098,03-04-2024,"DJI_0734(M:0,F:0,O:0)",5.783232756271158,51.1537193187044,4,4,Females,0
2099,03-04-2024,"DJI_0735(M:0,F:0,O:0)",5.794419120783509,50.519177661089245,4,4,Females,0
2100,03-04-2024,"DJI_0736(M:0,F:0,O:0)",5.796784725841462,49.89572086714704,3,4,Females,0
2101,03-04-2024,"DJI_0737(M:0,F:0,O:0)",5.807680983355432,49.24762207716807,3,4,Females,0
2102,03-04-2024,"DJI_0738(M:0,F:0,O:0)",5.8090131087525805,48.62881522083734,3,4,Females,0
2103,03-04-2024,"DJI_0739(M:0,F:0,O:0)",5.818281601986083,48.00537003877785,2,4,Females,0
2104,03-04-2024,"DJI_0740(M:0,F:0,O:0)",5.822114304918767,47.38215329446796,2,4,Females,0
2105,03-04-2024,"DJI_0741(M:0,F:0,O:0)",5.824701262135189,46.75801020378093,2,4,Females,0
2106,03-04-2024,"DJI_0742(M:0,F:0,O:0)",5.827181086067935,46.13727130498911,1,4,Females,0
2107,03-04-2024,"DJI_0743(M:0,F:0,O:0)",5.826277941359024,45.5150041643416,1,4,Females,0
2108,03-04-2024,"DJI_0744(M:0,F:0,O:0)",5.83043897318359,45.09361363785322,1,4,Females,0
2109,03-04-2024,"DJI_0745(M:0,F:0,O:0)",4.858535258055451,44.85098829185632,1,3,Females,0
2110,03-04-2024,"DJI_0746(M:0,F:0,O:0)",4.85262097743929,45.8039446713852,1,3,Females,0
2111,03-04-2024,"DJI_0747(M:0,F:0,O:0)",4.852990981509535,46.44259246406672,2,3,Females,0
2112,03-04-2024,"DJI_0748(M:0,F:0,O:0)",4.851049863994071,46.75256090127088,2,3,Females,0
2113,03-04-2024,"DJI_0749(M:0,F:0,O:0)",4.843528450043653,47.67743068039235,2,3,Females,0
2114,03-04-2024,"DJI_0750(M:0,F:0,O:0)",4.843871128765279,48.29529147585626,2,3,Females,0
2115,03-04-2024,"DJI_0751(M:0,F:0,O:0)",4.841652085970388,48.92118517757331,3,3,Females,0
2116,03-04-2024,"DJI_0752(M:0,F:0,O:0)",4.835796859686507,49.23362135717671,3,3,Females,0
2117,03-04-2024,"DJI_0753(M:0,F:0,O:0)",4.827041300853942,49.84580834673915,3,3,Females,0
2118,03-04-2024,"DJI_0754(M:0,F:0,O:0)",4.825990699148807,50.78124546180143,4,3,Females,0
2119,03-04-2024,"DJI_0755(M:0,F:0,O:0)",4.818943304839127,51.39590675408642,4,3,Females,0
2120,03-04-2024,"DJI_0756(M:0,F:0,O:0)",3.87962750933789,50.53316103469868,4,2,Females,0
2121,03-04-2024,"DJI_0757(M:0,F:0,O:0)",3.878403948274009,49.90502045099283,3,2,Females,0
2122,03-04-2024,"DJI_0758(M:0,F:0,O:0)",3.871032941808004,49.22392791817245,3,2,Females,0
2123,03-04-2024,"DJI_0759(M:0,F:0,O:0)",3.877758902746873,48.59969183186419,3,2,Females,0
2124,03-04-2024,"DJI_0760(M:0,F:0,O:0)",3.883740965755504,47.98191845519426,2,2,Females,0
2125,03-04-2024,"DJI_0761(M:0,F:0,O:0)",3.8873993228482497,47.36330818497288,2,2,Females,0
2126,03-04-2024,"DJI_0762(M:0,F:0,O:0)",3.8877222093659007,46.73904684086746,2,2,Females,0
2127,03-04-2024,"DJI_0763(M:0,F:0,O:0)",3.8933838560195646,46.11540002113921,1,2,Females,0
2128,03-04-2024,"DJI_0764(M:0,F:0,O:0)",3.898212151917321,45.49713795084966,1,2,Females,0
2129,03-04-2024,"DJI_0765(M:0,F:0,O:0)",3.901883137908644,44.87532614341765,1,2,Females,0
2130,03-04-2024,"DJI_0766(M:0,F:0,O:0)",3.9035386971885018,44.25370941333112,0,2,Females,0
2131,03-04-2024,"DJI_0767(M:0,F:0,O:0)",3.901117190152931,43.79860597860044,0,2,Females,0
2132,03-04-2024,"DJI_0768(M:0,F:0,O:0)",2.936610421479923,43.14172444956803,0,1,Females,0
2133,03-04-2024,"DJI_0769(M:0,F:0,O:0)",2.9240016632214783,43.61424457529304,0,1,Females,0
2134,03-04-2024,"DJI_0770(M:0,F:0,O:0)",2.920588440840259,44.249894502464414,0,1,Females,0
2135,03-04-2024,"DJI_0771(M:0,F:0,O:0)",2.922324478076828,44.894607272754186,1,1,Females,0
2136,03-04-2024,"DJI_0772(M:0,F:0,O:0)",2.923544496345144,45.51968681293721,1,1,Females,0
2137,03-04-2024,"DJI_0773(M:0,F:0,O:0)",2.919016410564634,46.14894478582207,1,1,Females,0
2138,03-04-2024,"DJI_0774(M:0,F:0,O:0)",2.908659820492854,46.75525328076675,2,1,Females,0
2139,03-04-2024,"DJI_0775(M:0,F:0,O:0)",2.9065307222716648,47.37418193331144,2,1,Females,0
2140,03-04-2024,"DJI_0776(M:0,F:0,O:0)",2.899130076470719,47.99129377928567,2,1,Females,0
2141,03-04-2024,"DJI_0777(M:0,F:0,O:0)",2.8993999993286224,48.6196804811991,3,1,Females,0
2142,03-04-2024,"DJI_0778(M:0,F:0,O:0)",2.9021295619788035,49.24215785387038,3,1,Females,0
2143,03-04-2024,"DJI_0779(M:0,F:0,O:0)",2.8966902844994458,49.86881972781876,3,1,Females,0
2144,03-04-2024,"DJI_0780(M:0,F:0,O:0)",2.8943335309060707,50.34750235306487,3,1,Females,0
2145,03-04-2024,"DJI_0781(M:0,F:0,O:0)",1.944198581398691,49.70551413843425,3,0,Females,0
2146,03-04-2024,"DJI_0782(M:0,F:0,O:0)",1.952244228532269,49.17431669156331,3,0,Females,0
2147,03-04-2024,"DJI_0783(M:0,F:0,O:0)",1.952554452631567,48.53346951495955,3,0,Females,0
2148,03-04-2024,"DJI_0784(M:0,F:0,O:0)",1.948860098120932,47.89031076959046,2,0,Females,0
2149,03-04-2024,"DJI_0785(M:0,F:0,O:0)",1.9488186130126124,47.26735985797785,2,0,Females,0
2150,03-04-2024,"DJI_0786(M:0,F:0,O:0)",1.9547385150244128,46.64950814861696,2,0,Females,0
2151,03-04-2024,"DJI_0787(M:0,F:0,O:0)",1.956967169190136,46.02909622650343,1,0,Females,0
2152,03-04-2024,"DJI_0788(M:0,F:0,O:0)",1.9599730816902152,45.40564195834092,1,0,Females,0
2153,03-04-2024,"DJI_0789(M:0,F:0,O:0)",1.9629501935975784,44.78552972107683,1,0,Females,0
2154,03-04-2024,"DJI_0790(M:0,F:0,O:0)",1.9665514412529284,44.16556050328022,0,0,Females,0
2155,03-04-2024,"DJI_0791(M:0,F:0,O:0)",1.970676251695892,43.543516223555045,0,0,Females,0
2156,03-04-2024,"DJI_0792(M:0,F:0,O:0)",1.9775962729643872,42.91759421299332,0,0,Females,0
2157,03-04-2024,"DJI_0793(M:0,F:0,O:0)",1.9784754343754791,42.50863788638225,0,0,Females,0
2158,06-05-2024,"DJI_0133(M:0,F:0,O:0)",5.768644054873853,52.28653943672471,4,4,Females,0
2159,06-05-2024,"DJI_0134(M:0,F:0,O:0)",5.788712915128947,51.688608996917495,4,4,Females,0
2160,06-05-2024,"DJI_0135(M:0,F:0,O:0)",5.79550654685233,51.035340249334986,4,4,Females,0
2161,06-05-2024,"DJI_0136(M:0,F:0,O:0)",5.796183176609283,50.40058534216831,4,4,Females,0
2162,06-05-2024,"DJI_0137(M:0,F:0,O:0)",5.802510913770032,49.7822823341355,3,4,Females,0
2163,06-05-2024,"DJI_0138(M:0,F:0,O:0)",5.815214958790978,49.17474931672813,3,4,Females,0
2164,06-05-2024,"DJI_0139(M:0,F:0,O:0)",5.815977532097815,48.55779869594721,3,4,Females,0
2165,06-05-2024,"DJI_0140(M:0,F:0,O:0)",5.8209624933775,47.93941230366401,2,4,Females,0
2166,06-05-2024,"DJI_0141(M:0,F:0,O:0)",5.821968133844404,47.31231126819425,2,4,Females,0
2167,06-05-2024,"DJI_0142(M:0,F:0,O:0)",5.828681957632732,46.68323370972459,2,4,Females,0
2168,06-05-2024,"DJI_0143(M:0,F:0,O:0)",5.828608129136139,46.06056378548756,1,4,Females,0
2169,06-05-2024,"DJI_0144(M:0,F:0,O:0)",5.840814360914649,45.44065974621554,1,4,Females,0
2170,06-05-2024,"DJI_0145(M:0,F:0,O:0)",5.831969249070983,45.09763337114144,1,4,Females,0
2171,06-05-2024,"DJI_0146(M:0,F:0,O:0)",4.870072225248872,44.440340464164535,0,3,Females,0
2172,06-05-2024,"DJI_0147(M:0,F:0,O:0)",4.837859339154392,45.088120905339984,1,3,Females,0
2173,06-05-2024,"DJI_0148(M:0,F:0,O:0)",4.844641045520621,45.7483617541662,1,3,Females,0
2174,06-05-2024,"DJI_0149(M:0,F:0,O:0)",4.845981351239008,46.37857992558034,1,3,Females,0
2175,06-05-2024,"DJI_0150(M:0,F:0,O:0)",4.834788392883578,46.99895648677786,2,3,Females,0
2176,06-05-2024,"DJI_0151(M:0,F:0,O:0)",4.830795973521447,47.61119350018658,2,3,Females,0
2177,06-05-2024,"DJI_0152(M:0,F:0,O:0)",4.830893551051322,48.23180200840946,2,3,Females,0
2178,06-05-2024,"DJI_0153(M:0,F:0,O:0)",4.824538522061733,48.84910538893361,3,3,Females,0
2179,06-05-2024,"DJI_0154(M:0,F:0,O:0)",4.824026626773886,49.47377204240825,3,3,Females,0
2180,06-05-2024,"DJI_0155(M:0,F:0,O:0)",4.8169655865497845,50.0879335209389,3,3,Females,0
2181,06-05-2024,"DJI_0156(M:0,F:0,O:0)",4.808375812721941,50.71352097748322,4,3,Females,0
2182,06-05-2024,"DJI_0157(M:0,F:0,O:0)",4.805306230461163,51.34123857136183,4,3,Females,0
2183,06-05-2024,"DJI_0158(M:0,F:0,O:0)",4.814056279132146,51.65293587107463,4,3,Females,0
2184,06-05-2024,"DJI_0159(M:0,F:0,O:0)",3.883345311203811,50.996172036673016,4,2,Females,0
2185,06-05-2024,"DJI_0160(M:0,F:0,O:0)",3.885599133655983,50.614848486017735,4,2,Females,0
2186,06-05-2024,"DJI_0161(M:0,F:0,O:0)",3.867740129907333,49.63901240040442,3,2,Females,0
2187,06-05-2024,"DJI_0162(M:0,F:0,O:0)",3.8714495278622,49.01934034167754,3,2,Females,0
2188,06-05-2024,"DJI_0163(M:0,F:0,O:0)",3.873213762709387,48.40976513099767,3,2,Females,0
2189,06-05-2024,"DJI_0164(M:0,F:0,O:0)",3.877148055618285,47.7924678190488,2,2,Females,0
2190,06-05-2024,"DJI_0165(M:0,F:0,O:0)",3.893438740981342,47.190258898847176,2,2,Females,0
2191,06-05-2024,"DJI_0166(M:0,F:0,O:0)",3.8987127587237858,46.56194091825388,2,2,Females,0
2192,06-05-2024,"DJI_0167(M:0,F:0,O:0)",3.90410506340438,45.951146236670745,1,2,Females,0
2193,06-05-2024,"DJI_0168(M:0,F:0,O:0)",3.912746895110186,45.32819834258588,1,2,Females,0
2194,06-05-2024,"DJI_0169(M:0,F:0,O:0)",3.919229297140955,44.72215568033849,1,2,Females,0
2195,06-05-2024,"DJI_0170(M:0,F:0,O:0)",3.913310334430712,44.104507150930026,0,2,Females,0
2196,06-05-2024,"DJI_0171(M:0,F:0,O:0)",3.907374227578895,43.807938688959695,0,2,Females,0
2197,06-05-2024,"DJI_0172(M:0,F:0,O:0)",2.941616136362388,43.13966706809746,0,1,Females,0
2198,06-05-2024,"DJI_0173(M:0,F:0,O:0)",2.925174518994901,43.54654734928388,0,1,Females,0
2199,06-05-2024,"DJI_0174(M:0,F:0,O:0)",2.9188503691981147,44.4925523255548,1,1,Females,0
2200,06-05-2024,"DJI_0175(M:0,F:0,O:0)",2.910777106086549,45.12973000283385,1,1,Females,0
2201,06-05-2024,"DJI_0176(M:0,F:0,O:0)",2.903592760884635,45.74743616694752,1,1,Females,0
2202,06-05-2024,"DJI_0177(M:0,F:0,O:0)",2.8998045049709944,46.355426026334285,1,1,Females,0
2203,06-05-2024,"DJI_0178(M:0,F:0,O:1)",2.8987619613044195,46.97604565469186,2,1,Females,0
2204,06-05-2024,"DJI_0179(M:0,F:0,O:0)",2.899211773309723,47.59050225826054,2,1,Females,0
2205,06-05-2024,"DJI_0180(M:0,F:0,O:0)",2.885028526783291,48.21274112358316,2,1,Females,0
2206,06-05-2024,"DJI_0181(M:0,F:0,O:0)",2.877910902389601,48.83728801487555,3,1,Females,0
2207,06-05-2024,"DJI_0182(M:0,F:0,O:0)",2.884408011545144,49.45486073737276,3,1,Females,0
2208,06-05-2024,"DJI_0183(M:0,F:0,O:0)",2.8818801642780194,50.067978107855936,3,1,Females,0
2209,06-05-2024,"DJI_0184(M:0,F:0,O:0)",2.8876307716354184,50.34822555300936,4,1,Females,0
2210,06-05-2024,"DJI_0185(M:0,F:0,O:0)",1.9465035563209483,49.687344463406674,3,0,Females,0
2211,06-05-2024,"DJI_0186(M:0,F:0,O:0)",1.959149217779064,49.221305744793845,3,0,Females,0
2212,06-05-2024,"DJI_0187(M:0,F:0,O:0)",1.959086509417176,48.59977594175327,3,0,Females,0
2213,06-05-2024,"DJI_0188(M:0,F:0,O:0)",1.951614997030348,47.95604006695471,2,0,Females,0
2214,06-05-2024,"DJI_0189(M:0,F:0,O:0)",1.948311322478464,47.3286565353455,2,0,Females,0
2215,06-05-2024,"DJI_0190(M:0,F:0,O:0)",1.9525073800212736,46.700428007577855,2,0,Females,0
2216,06-05-2024,"DJI_0191(M:0,F:0,O:0)",1.9686070225824568,46.09122169481559,1,0,Females,0
2217,06-05-2024,"DJI_0192(M:0,F:0,O:0)",1.9700033094883305,45.46010850339674,1,0,Females,0
2218,06-05-2024,"DJI_0193(M:0,F:0,O:0)",1.963104925507146,44.83736480628014,1,0,Females,0
2219,06-05-2024,"DJI_0194(M:0,F:0,O:0)",1.9717265509752304,44.21953937173225,0,0,Females,0
2220,06-05-2024,"DJI_0195(M:0,F:0,O:0)",1.9836042973116044,43.60372582110028,0,0,Females,0
2221,06-05-2024,"DJI_0196(M:0,F:0,O:0)",1.988608447813164,42.97651561831515,0,0,Females,0
2222,06-05-2024,"DJI_0197(M:0,F:0,O:0)",1.982343062093172,42.513994326976274,0,0,Females,0
2223,07-03-24,"DJI_0118(M:0,F:0,O:0)",5.7888509386540505,52.31875995577536,4,4,Females,0
2224,07-03-24,"DJI_0119(M:0,F:0,O:0)",5.775184817996301,51.82406866098015,4,4,Females,0
2225,07-03-24,"DJI_0120(M:0,F:0,O:0)",5.786127623600549,51.20772042742585,4,4,Females,0
2226,07-03-24,"DJI_0121(M:0,F:0,O:0)",5.799909070033532,50.5685662271469,4,4,Females,0
2227,07-03-24,"DJI_0122(M:0,F:0,O:0)",5.80179355881101,49.94434227798919,3,4,Females,0
2228,07-03-24,"DJI_0123(M:0,F:0,O:0)",5.8063555302634455,49.33024902903065,3,4,Females,0
2229,07-03-24,"DJI_0124(M:0,F:0,O:0)",5.810489426809433,48.701942168572046,3,4,Females,0
2230,07-03-24,"DJI_0125(M:0,F:0,O:0)",5.813114795989399,48.07993882659012,2,4,Females,0
2231,07-03-24,"DJI_0126(M:0,F:0,O:0)",5.818148272351486,47.461130953243554,2,4,Females,0
2232,07-03-24,"DJI_0128(M:0,F:0,O:0)",5.826253856754072,46.213965178576245,1,4,Females,0
2233,07-03-24,"DJI_0129(M:0,F:0,O:0)",5.82843904739682,45.592694122641845,1,4,Females,0
2234,07-03-24,"DJI_0130(M:0,F:0,O:0)",5.831350656630463,45.088166727417686,1,4,Females,0
2235,07-03-24,"DJI_0131(M:0,F:0,O:0)",4.840401010983445,44.87929375216226,1,3,Females,0
2236,07-03-24,"DJI_0132(M:0,F:0,O:0)",4.8424653771119,45.725832740273546,1,3,Females,0
2237,07-03-24,"DJI_0133(M:0,F:0,O:0)",4.848134712338769,46.359253957662176,1,3,Females,0
2238,07-03-24,"DJI_0134(M:0,F:0,O:0)",4.852198490034812,46.99982165565422,2,3,Females,0
2239,07-03-24,"DJI_0135(M:0,F:0,O:0)",4.8478821450419325,47.62291155219075,2,3,Females,0
2240,07-03-24,"DJI_0136(M:0,F:0,O:0)",4.839639084479309,48.8613778383498,3,3,Females,0
2241,07-03-24,"DJI_0137(M:0,F:0,O:0)",4.831421259616583,49.48373394007494,3,3,Females,0
2242,07-03-24,"DJI_0138(M:0,F:0,O:0)",4.831644176155958,50.10820046464468,3,3,Females,0
2243,07-03-24,"DJI_0139(M:0,F:0,O:0)",4.820388039787858,50.72479734218629,4,3,Females,0
2244,07-03-24,"DJI_0140(M:0,F:0,O:0)",4.8136635876128615,51.344691770087486,4,3,Females,0
2245,07-03-24,"DJI_0141(M:0,F:0,O:0)",4.826303996018986,51.65598274341522,4,3,Females,0
2246,07-03-24,"DJI_0142(M:0,F:0,O:0)",3.8883985576726254,51.0097791928831,4,2,Females,0
2247,07-03-24,"DJI_0145(M:0,F:0,O:0)",3.87512677212494,49.10859322888368,3,2,Females,0
2248,07-03-24,"DJI_0146(M:0,F:0,O:0)",3.877737478374645,48.48238872218249,3,2,Females,0
2249,07-03-24,"DJI_0147(M:0,F:0,O:0)",3.882253952272425,47.8600336374732,2,2,Females,0
2250,07-03-24,"DJI_0148(M:0,F:0,O:0)",3.879729570086575,47.23701046174489,2,2,Females,0
2251,07-03-24,"DJI_0149(M:0,F:0,O:0)",3.883276234084242,46.61504198893096,2,2,Females,0
2252,07-03-24,"DJI_0150(M:0,F:0,O:0)",3.8890520996127016,45.99411306435312,1,2,Females,0
2253,07-03-24,"DJI_0151(M:0,F:0,O:0)",3.896878261020607,45.37206776761211,1,2,Females,0
2254,07-03-24,"DJI_0152(M:0,F:0,O:0)",3.896447638237188,44.7487873535415,1,2,Females,0
2255,07-03-24,"DJI_0153(M:0,F:0,O:0)",3.898610588610527,44.12523605521419,0,2,Females,0
2256,07-03-24,"DJI_0154(M:0,F:0,O:0)",3.89962076641768,43.78996359952957,0,2,Females,0
2257,07-03-24,"DJI_0155(M:0,F:0,O:0)",2.932721078760622,43.145832126918044,0,1,Females,0
2258,07-03-24,"DJI_0156(M:0,F:0,O:0)",2.926180304589547,43.30344934765627,0,1,Females,0
2259,07-03-24,"DJI_0157(M:1,F:0,O:0)",2.913613947895936,44.343259626831966,0,1,Females,0
2260,07-03-24,"DJI_0158(M:0,F:0,O:0)",2.911966457703258,44.95491242522013,1,1,Females,0
2261,07-03-24,"DJI_0159(M:0,F:0,O:0)",2.9074024522191344,45.56160297224879,1,1,Females,0
2262,07-03-24,"DJI_0160(M:0,F:0,O:0)",2.907714296316364,46.175403096681215,1,1,Females,0
2263,07-03-24,"DJI_0161(M:0,F:0,O:0)",2.904498699157589,47.422135253134606,2,1,Females,0
2264,07-03-24,"DJI_0162(M:0,F:0,O:0)",2.903803863674817,48.04962795205918,2,1,Females,0
2265,07-03-24,"DJI_0163(M:0,F:0,O:0)",2.897194122122645,48.66419726573879,3,1,Females,0
2266,07-03-24,"DJI_0164(M:0,F:0,O:0)",2.895694736476674,49.29373268320367,3,1,Females,0
2267,07-03-24,"DJI_0165(M:0,F:0,O:0)",2.9046506135363863,50.28569775933593,3,1,Females,0
2268,07-03-24,"DJI_0166(M:0,F:0,O:0)",2.8952780494892494,50.33373144588175,3,1,Females,0
2269,07-03-24,"DJI_0167(M:0,F:0,O:0)",1.9516487813951464,49.70138927237426,3,0,Females,0
2270,07-03-24,"DJI_0168(M:0,F:0,O:0)",1.952333938467529,49.02884005442825,3,0,Females,0
2271,07-03-24,"DJI_0169(M:0,F:0,O:0)",1.9462537170441865,48.384766082816725,2,0,Females,0
2272,07-03-24,"DJI_0170(M:0,F:0,O:0)",1.9470324285253788,47.74788759863907,2,0,Females,0
2273,07-03-24,"DJI_0171(M:0,F:0,O:0)",1.9531751914595248,47.1250079341263,2,0,Females,0
2274,07-03-24,"DJI_0172(M:0,F:0,O:0)",1.957541068550654,46.50519790749135,2,0,Females,0
2275,07-03-24,"DJI_0173(M:0,F:0,O:0)",1.9576537230445368,45.8827629813272,1,0,Females,0
2276,07-03-24,"DJI_0174(M:0,F:0,O:0)",1.9629995131546387,45.26000511302837,1,0,Females,0
2277,07-03-24,"DJI_0175(M:0,F:0,O:0)",1.9711900461885143,44.63664938379456,1,0,Females,0
2278,07-03-24,"DJI_0176(M:0,F:0,O:0)",1.97513696799599,44.016150534635074,0,0,Females,0
2279,07-03-24,"DJI_0177(M:1,F:0,O:0)",1.978928733185409,43.39143434906218,0,0,Females,0
2280,07-03-24,"DJI_0178(M:0,F:0,O:0)",1.9801724227727355,42.77525088349676,0,0,Females,0
2281,07-03-24,"DJI_0179(M:0,F:0,O:0)",1.97812369164808,42.50674678166445,0,0,Females,0
2282,08-02-24,"DJI_0001(M:0,F:0,O:0)",5.752860347318318,52.34451179717175,4,4,Females,0
2283,08-02-24,"DJI_0002(M:0,F:0,O:0)",5.756128650279457,51.7812327826543,4,4,Females,0
2284,08-02-24,"DJI_0003(M:0,F:0,O:0)",5.779578936892555,51.16938487340089,4,4,Females,0
2285,08-02-24,"DJI_0004(M:0,F:0,O:0)",5.810571402107488,50.553849750845,4,4,Females,0
2286,08-02-24,"DJI_0005(M:0,F:0,O:0)",5.8157468809212425,49.93071639078549,3,4,Females,0
2287,08-02-24,"DJI_0006(M:0,F:0,O:0)",5.814316630629158,49.30746326854373,3,4,Females,0
2288,08-02-24,"DJI_0007(M:0,F:0,O:0)",5.821439831850078,48.69338012270404,3,4,Females,0
2289,08-02-24,"DJI_0008(M:0,F:0,O:0)",5.817201216566076,48.06546190817251,2,4,Females,0
2290,08-02-24,"DJI_0009(M:0,F:0,O:0)",5.819521849337182,47.44548763881648,2,4,Females,0
2291,08-02-24,"DJI_0010(M:0,F:0,O:0)",5.82238979392918,46.82137689151772,2,4,Females,0
2292,08-02-24,"DJI_0011(M:0,F:0,O:0)",5.832257165113521,46.20447780334696,1,4,Females,0
2293,08-02-24,"DJI_0012(M:0,F:0,O:0)",5.835522349987581,45.59051999651677,1,4,Females,0
2294,08-02-24,"DJI_0013(M:0,F:0,O:0)",5.833328196646189,45.09757626170405,1,4,Females,0
2295,08-02-24,"DJI_0014(M:0,F:0,O:0)",4.85866697874074,44.44543363136077,0,3,Females,0
2296,08-02-24,"DJI_0015(M:0,F:0,O:0)",4.865473384116537,45.06773967571985,1,3,Females,0
2297,08-02-24,"DJI_0016(M:0,F:0,O:0)",4.849773541136905,45.70624599121753,1,3,Females,0
2298,08-02-24,"DJI_0017(M:3,F:1,O:0)",4.834305645182639,46.3334617708299,1,3,Females,1
2299,08-02-24,"DJI_0018(M:0,F:0,O:0)",4.829263574465557,46.95048921553789,2,3,Females,0
2300,08-02-24,"DJI_0019(M:0,F:0,O:0)",4.825826077783248,47.57645619838648,2,3,Females,0
2301,08-02-24,"DJI_0020(M:0,F:0,O:0)",4.828252412788448,48.19662098527658,2,3,Females,0
2302,08-02-24,"DJI_0021(M:0,F:0,O:0)",4.826647894370705,48.817175926857615,3,3,Females,0
2303,08-02-24,"DJI_0022(M:0,F:0,O:0)",4.823020371902356,49.43984686811049,3,3,Females,0
2304,08-02-24,"DJI_0023(M:0,F:0,O:0)",4.817847418868322,50.06233992072787,3,3,Females,0
2305,08-02-24,"DJI_0024(M:0,F:0,O:0)",4.815763818201791,50.689530409023305,4,3,Females,0
2306,08-02-24,"DJI_0025(M:0,F:0,O:0)",4.808752310075935,51.30697175745553,4,3,Females,0
2307,08-02-24,"DJI_0026(M:0,F:0,O:0)",4.8121181680958,51.64936743645833,4,3,Females,0
2308,08-02-24,"DJI_0027(M:0,F:0,O:0)",3.8624951694933,51.012207048074686,4,2,Females,0
2309,08-02-24,"DJI_0028(M:0,F:0,O:0)",3.8386449050250384,50.29619125573153,3,2,Females,0
2310,08-02-24,"DJI_0029(M:0,F:0,O:0)",3.86139774123884,49.663194503414246,3,2,Females,0
